dataset,model,featurizer,seed,sweep_param,sweep_value,kmer_size,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,cart,kmer_count,45,max_depth,5.0,2,1.0,train,0.78775,0.7863075761389379,0.806401652039236,0.7671905697445972,0.8750720381319432
polymerase,cart,kmer_count,45,max_depth,5.0,2,1.0,test,0.753376688344172,0.7480838017373531,0.7632950990615224,0.7334669338677354,0.8256052353751726
polymerase,cart,kmer_count,45,max_depth,6.0,2,1.0,train,0.79375,0.7969480679301009,0.798717316230883,0.7951866404715128,0.8861948025989906
polymerase,cart,kmer_count,45,max_depth,6.0,2,1.0,test,0.7408704352176088,0.7402206619859579,0.7409638554216867,0.7394789579158316,0.8295826000733876
polymerase,cart,kmer_count,46,max_depth,1.0,2,1.0,train,0.72625,0.6810369938829013,0.8508005822416302,0.5677513355998057,0.705543166896778
polymerase,cart,kmer_count,46,max_depth,1.0,2,1.0,test,0.71935967983992,0.6678507992895204,0.8162083936324168,0.5651302605210421,0.6783726164100876
polymerase,cart,kmer_count,46,max_depth,2.0,2,1.0,train,0.74025,0.7792649245804122,0.6925981873111783,0.8907236522583779,0.7992639915572982
polymerase,cart,kmer_count,46,max_depth,2.0,2,1.0,test,0.7258629314657329,0.7641996557659209,0.669683257918552,0.8897795591182365,0.7794674420923511
polymerase,cart,kmer_count,46,max_depth,3.0,2,1.0,train,0.762,0.7358490566037735,0.858252427184466,0.6440019426906265,0.8370081018691233
polymerase,cart,kmer_count,46,max_depth,3.0,2,1.0,test,0.753376688344172,0.7206798866855524,0.8292046936114733,0.6372745490981964,0.8105289579395765
polymerase,cart,kmer_count,46,max_depth,4.0,2,1.0,train,0.777,0.7686721991701245,0.8247078464106845,0.7197668771248179,0.8574137234182038
polymerase,cart,kmer_count,46,max_depth,4.0,2,1.0,test,0.7623811905952976,0.7493403693931399,0.7915273132664437,0.7114228456913828,0.8261362769476458
polymerase,cart,kmer_count,46,max_depth,5.0,2,1.0,train,0.78,0.7871311078858249,0.7840963855421687,0.7901894123360855,0.8744304623810691
polymerase,cart,kmer_count,46,max_depth,5.0,2,1.0,test,0.7603801900950475,0.7641555883801083,0.7512100677637947,0.7775551102204409,0.8303696716645772
polymerase,cart,kmer_count,46,max_depth,6.0,2,1.0,train,0.78625,0.7811620168927565,0.8257575757575758,0.7411364740165128,0.8854865999935558
polymerase,cart,kmer_count,46,max_depth,6.0,2,1.0,test,0.759879939969985,0.75,0.7809110629067245,0.7214428857715431,0.8292528409773429
