dataset,model,featurizer,seed,sweep_param,sweep_value,num_tries,subsample_proportion,split,accuracy,f1,precision,recall,auprc
polymerase,oc1,identity,44,max_depth,5.0,50,1.0,test,0.8204102051025512,0.822365165759525,0.8123167155425219,0.8326653306613226,0.8703858187382995
polymerase,oc1,identity,44,max_depth,6.0,50,1.0,train,0.887,0.8902379796017484,0.8774533269506941,0.9034006899950715,0.9118982520698575
polymerase,oc1,identity,44,max_depth,6.0,50,1.0,test,0.8269134567283641,0.8307240704500979,0.8116634799235182,0.8507014028056112,0.866710194619599
polymerase,oc1,identity,45,max_depth,1.0,50,1.0,train,0.76275,0.7595642259944262,0.7844060701203558,0.7362475442043221,0.7117670427850753
polymerase,oc1,identity,45,max_depth,1.0,50,1.0,test,0.7633816908454227,0.7626693426994481,0.7638190954773869,0.7615230460921844,0.700725374016199
polymerase,oc1,identity,45,max_depth,2.0,50,1.0,train,0.8125,0.8294679399727148,0.7722269263336156,0.8958742632612967,0.782857315942403
polymerase,oc1,identity,45,max_depth,2.0,50,1.0,test,0.791895947973987,0.8103919781221514,0.7433110367892977,0.8907815631262525,0.766483881787454
polymerase,oc1,identity,45,max_depth,3.0,50,1.0,train,0.84575,0.8529201430274136,0.8286243631310792,0.8786836935166994,0.842967464012174
polymerase,oc1,identity,45,max_depth,3.0,50,1.0,test,0.8339169584792396,0.8400770712909441,0.8089053803339518,0.87374749498998,0.8334537815787542
polymerase,oc1,identity,45,max_depth,4.0,50,1.0,train,0.871,0.8771428571428571,0.8512014787430684,0.9047151277013753,0.8979567477912562
polymerase,oc1,identity,45,max_depth,4.0,50,1.0,test,0.8429214607303652,0.8481624758220503,0.819626168224299,0.8787575150300602,0.8581081708214078
polymerase,oc1,identity,45,max_depth,5.0,50,1.0,train,0.89075,0.889058136582889,0.9201261166579086,0.8600196463654224,0.9320229525991257
polymerase,oc1,identity,45,max_depth,5.0,50,1.0,test,0.8359179589794897,0.8293444328824141,0.8625541125541125,0.7985971943887775,0.8754982377932222
polymerase,oc1,identity,45,max_depth,6.0,50,1.0,train,0.897,0.898019801980198,0.9051896207584831,0.8909626719056974,0.9186710507093852
polymerase,oc1,identity,45,max_depth,6.0,50,1.0,test,0.8339169584792396,0.8318135764944276,0.8411885245901639,0.8226452905811623,0.8701367384188416
polymerase,oc1,identity,46,max_depth,1.0,50,1.0,train,0.764,0.7628140703517587,0.7902134305049453,0.7372510927634774,0.7178357151561472
